phase,phase_name,headcount,score,question_id,question,feedback_text,peer_value,pdf_sha256,campaign_id
P1,Pioneering,3,0,Q11,Employees know core values,"You have not formulated any core values. That's less important in your phase. Because of the small team, everyone subconsciously knows what's important. However, if you grow and hire new employees, it will be increasingly important to make this explicitly clear.",5.7,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q12,We are transparent,"Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be beneficial for you to start considering what information you are willing to share.",5.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q13,We have a positive and healthy culture,"""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You still have a small company, but it would be good to start working on such a culture already now.",7.3,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q14,We have formulated a long term (non-financial) goal,"You have not yet formulated a clear long-term goal. That's too bad, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage.",6.7,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q15,We have formulated yearly goals,"The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth. It's time to get started!",6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q16,We have formulated quarterly/ monthly goals (other than financial goals),"You have no monthly or quarterly goals. Ouch. Monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process.",5.4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q17,We work with a strategic plan,"You do not yet have a business plan. Maybe this isn't necessary yet in your phase. But establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges.Whenshouldyouhiresomeone?Whatwillthemarketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this.",5.3,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q18,Each employee has personalized goals,"You haven't started working on personal goals yet. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Think about how this would work at your company.",4.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q19,We have implemented a growth methodology,"You have not yet implemented a growth methodology. That is logical in the phase that your company is in. However, it's never too early to start thinking about that.",4.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q20,We have an active acquisitions strategy,"You are not active with acquisitions, that seems logical for the company your size.",2.4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q21,Tasks are properly allocated,"You do not yet have an efficient leadership team. That's not unusual in your phase. However, for the next growth step you should start thinking about the form and composition of the management. This will help you create more involvement and make the company less dependent on you.",6.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q22,We have weekly management meetings.,"You have not yet implemented a weekly leadership meeting. In order to create structure, it's good to implement a regular management meeting and systematically determine decisions and actions.",6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q23,We have periodic strategic sessions.,You do not yet have strategic sessions. It is important - including in your phase - to involve employees in your long-term planning. That's why you should start planning strategic sessions with all - or your most important - employees.,5.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q24,Leadership team receives regular training,"When your organization is growing rapidly and therefore constantly changing, it is important - even at smaller organizations - for everyone to continue learning. We advise you to start doing this.",4.7,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q25,Our goals are translated into clear KPIs,"Making goals measurable is an important step towards creating personal accountability and professionalizing processes. This includes numbers of leads, received applications, IT development, etc. With a company of your size this is usually still a step too early, but it is perhaps something to think about if you start to grow.",5.8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q26,We use real-time data to measure our performance,"Because of the size of your company, perhaps you know exactly ""what's going on"". However, if you start to grow you will have to have up-to-date information available, both for yourself as well as for your employees. It's time to think about this.",5.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q27,"We grow with limited mistakes, errors and problems","Work pressure and lack of process often lead to coordination problemsandmistakes.That'sashameandcouldpotentiallydamage your reputation among customers. It's time to take stock of the processes and make clear arrangements. If you don't like doing this yourself, ask an employee to make this number one priority. If you don't resolve this, it will only get worse.",5,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q28,We measure customer satisfaction,"You do not yet measure customer satisfaction. That's too bad, because this provides important input for the further development of your products and processes. In any case, you should try having regular contact with customers to find out what you can improve.",5.6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q29,We have systematic processes for continuous improvement,"A system to prevent mistakes and take stock of complaints/feedback is usually not really necessary yet for a company of your size. However, when you start to grow and hire new people, it's often good to structure work processes and set up a system of quality checks and customer feedback. Preventing mistakes is usually significantly cheaper than continually fixing them.",5.7,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q30,We have an effective lead generation process,To grow you need new customers. Often sales are very dependent on the entrepreneur with a company of your size. Then it's wise to start thinking about a lead generation system and process.,5.6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q31,Sales achievement,"Having and achieving targets is, of course, the basis for business success and growth. At successful companies this correlation is no coincidence. The sales process will often consist of a combination of targets, bonus schemes, lead generation as well as weekly meetings, coaching, training, motivational sessions, etc. It might be good to start thinking about this already.",6.1,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q32,Weekly sales meeting,Stimulating sales is hardly possible without a disciplined process. A weekly sales meeting in which successes as well as setbacks and lessonslearnedaresharedisanimportantpartofthesuccessoffast- growing companies. Often there are also one-on-one meetings with individual sales reps - if applicable. It's time to start with this.,6.4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q33,Head of sales is not the entrepreneur,"With a company of your size, the entrepreneur is often in charge when it comes to sales. With the increasing pressure on general management tasks, it's good to ensure that you as an entrepreneur free up sufficient time for this. If this is not the case, you will have to start making choices.",5.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q34,We have an effective PR/communication strategy,Nowadays sales and marketing strategies are usually accompanied with an effective content-based communication strategy. This is something you might want to think about.,5,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q35,Most processes are automated,"In order to scale, smart application and linking of information technology is essential. Sales, marketing, project management, production,humanresources,reporting,etc.Thisgivesstructureand clarity, prevents mistakes and makes growing a lot easier. With the size of your company, a lot of systems likely still work independently of each other, or you primarily use Excel. This is customary, but in your next growth phase you will have to start thinking about smart solutions.",6.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q36,Systems prepped for growth,"Your systems are not yet prepared for growth. When you grow, a lot changes at the same time: systems, structures, people, processes, etc. It helps a lot when your systems can handle this growth. Otherwise it's sort of like changing the tires while driving!",6.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q37,Better systems than competitors,"Many fast growers have invested in information technology systems that help them be better, smarter, more efficient and more market- oriented than their competitors. You don't have any systems that are better than most of your competitors. Where might IT be able to help you?",6.3,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q38,Knowledge on latest technology,"As an entrepreneur, you always have 1001 focus areas You must keep an eye on technological developments that could enormously affect your business model or company efficiency. You should devote time to this on a regular basis.",6.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q39,We are more innovative than competitors,"In this world, where developments are super fast, you can quickly be made less relevant by a competitor if you don't pay attention (for example, by focusing too much on internal issues). It is wise to continuously make improvement and innovation part of the organization's DNA.",6.7,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q40,Our business model is disruptive,You do not have a disruptive business model. Keep your eyes open for newcomers in your market. Or you might want to think creating a disruptive model yourself.,6.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q41,Real time financial insights,"You have no up-to-date knowledge of sales and costs. For a growth company, this is the same as driving 90 mph with a blindfold on. Maybe this should be your first priority to tackle tomorrow.",8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q42,Up-to-date cashflow planning,"You don't employ cash flow planning. As a small business, you always have to look ahead a few months with regard to your cash flow, as otherwise you'll inevitably end up in trouble, especially if you grow.",7,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q43,Access to growth capital,"You have no access to growth capital. This isn't a problem, unless you want to grow a lot. After all, growth gobbles up cash. You could create a list of the various alternatives (friends/fools/family, the bank, factoring, SME bonds, crowd funding, angel investors, private equity, Government Funding, etc.). There are a lot of service providers who can help you with this.",5.8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q44,Financial alert function,"It is crucial to have ""early warning systems"" with regard to financial parameters. The faster you can intervene or take measures, the better. You indicate that this is not the case at your company. That's dangerous. What are you going to do about it?",6.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q45,Leadership understands balance sheet,"Reading and understanding a balance sheet appears to be a tricky thing for many entrepreneurs. While a balance sheet is a smart blueprint that can expose the dynamics and growth potential behind your company. With a company of your size this is not a priority, but if you grow you should spend a good amount of time and attention on this.",7.8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q46,CEO works on the company and is able to remove from daily operations,"In this phase you work fully in your company. Perhaps that's logical, since without you there would be no sales. But if you don't put in any time to work on your company as well (systems, structures, processes, management, etc.), then it will be difficult to grow. When do you start?",5.8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q47,Have a mentor,"You indicate that you have no mentor. It can be difficult to see when you are stuck. Sometimes choices are a challenge, or you have simply reached the end of your tether. Maybe you need to change to guide the company to its next phase? Whatever it may be, this is where a mentor can be of great assistance.",5,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q48,Have an entrepreneurial network,"Most entrepreneurs experience the same challenges, highs and lows. Other entrepreneurs you know can often be of great assistance with their experiences. We recommend that you actively look for and invest time in a network of entrepreneurs.",5.8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q49,Enjoy management of company,"Many entrepreneurs discover that management costs time and energy and is a ""skill"" that requires development. You don't like it. Therefore, you should examine where your strength lies; perhaps it would be better to hire an operations manager directly.",4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q50,Energized by team and company,"It is not unusual for entrepreneurs to become ""sick"" of their company after about seven years. Employees can change jobs or companies. Entrepreneurs can't. The best solution that doesn't cost money but does deliver is to let your company grow rapidly. Then every year is different.",3,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q51,Absence of CEO is possible,"You can't leave without things going wrong. You have made the company, the processes and the people too dependent on you. That's not scalable and causes you in particular a lot of work, stress and likely also annoyance. We recommend that you start working on standardization, establishing processes and probably also on hiring better people.",6.5,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q52,Read business books,"You never read management books. That's a shame, because in order to grow it will be imperative to have skills, ideas and insights that were documented by others years ago. And don't forget: ""stagnant water will stink."" This also applies to businesses.",6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q53,Receives regular education,"You never follow external education or training courses. That's too bad. Because even as an entrepreneur, you need to develop yourself. Often the entrepreneur him/herself is the most important part of the educational equation. Management guru Peter Drucker said: ""The bottleneck is always on top of the bottle."" In other words, keep developing yourself in order to let your organization grow.",5.1,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q54,Healthy work - life balance,"You have a poor work-life balance. It is a challenge for many businesses to combine everything. Successful high-growth entrepreneurs teach us that we must always take good care of ourselves. Hard work is sometimes necessary, of course, but you should take enough time for yourself and not skip vacations. Working smart is the solution.",6.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q55,I am happy,"You are absolutely not happy. If this feeling continues, talk to a mentor, another entrepreneur who has been in your shoes. Maybe entrepreneurship is not for you.",5.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q56,Employees know long term goal,"A long-term goal for the organization gives everyone a clear framework for strategy and decisions - and can be very motivating. With a company of your size it isn't really necessary to establish all of this clearly yet, but it will help. But you can start thinking about it.",4.8,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q57,Employees know yearly goal,"Focusing on goals, including annual goals, provides direction and a framework to your business activities. In addition, this information motivates your employees. In this phase you should start thinking about making all of this a bit clearer.",5.6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q58,Employees know quarterly/monthly goals,"Focusing on goals, including monthly goals and KPIs, provides guidance and direction to business activities. Actually, you make a small sprint every month to ensure that you are ""on schedule"". The clearer the goal the clearer it becomes on how to achieve it. Perhaps you can think about how this would work at your company.",5,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q59,Employees know vision and mission,"As with the long-term goal - it is important for the company's vision and mission to be clear. This motivates employees and provides a clear framework for the activities. In your phase this doesn't all need to be in place yet, but you can start thinking about what that vision and mission might look like.",5.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q60,Employees know elevator pitch,"You'd be surprised to hear the stories and answers you get to the question ""What exactly does your company do?"". It is a good idea to formulate a common language and text - and to practice together. Everything will become clearer. Both internally as well as externally.",6.4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q61,We frequently have company-wide meetings,"Research shows that it's crucial to communicate goals and performance to all employees, providing them with context regarding development. Face-to-face, with internal sessions works best. With internal sessions, in other words. With a company of your size this may seem too much ""overkill"" in information and process, but perhaps it would be good to start on it already.",5.6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,1,Q01,Effective recruitment process,"In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this very difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?",6.3,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q02,High staff retention,"Your employee turnover is high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.",7.2,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q03,Onboarding program,"Employees do not receive a comprehensive onboarding program at your company. While this is understandable for a company of your size, a well-thought-out onboarding program will be an enormous help to employees with regard to learning their job, becoming familiar with the company's core values and getting to know their coworkers. It will help enormously with scaling up your company. It might be good to start thinking about this already.",5.6,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q04,Measuring employee satisfaction,You do not yet measure employee satisfaction. That's understandable with a company of your size. You usually know quite well what's going on. This is something for the next phase.,5.9,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q05,Positive about re-hiring employees,"You would hire few or none of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring policy. You should work on this, because without good employees you can't grow.",6.2,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q06,Every employee has a training plan,"Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. In your phase it is logical that this is not up to par, but you might want to start thinking about it.",4.6,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q07,Outsourcing / Offshoring operations,"You are not active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.",4.4,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q08,We apply flat-management or self-steering/organizing teams,"You have not implemented new management models, when things work for you, don't change.",5.5,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q09,We have Core values,"Core values are the internal 'rules of the game'. It's essential to have this very clear if you start growing quickly, but in small organizations it's often not yet necessary to make this explicit.",7.2,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q10,We have focus on customers' needs,"Growth often creates increased management attention to internal matters,employees,newpremises,computersystems,etc.Themost rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.",6.4,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q11,Employees know core values,"You have not formulated any core values. That's less important in your phase. Because of the small team, everyone subconsciously knows what's important. However, if you grow and hire new employees, it will be increasingly important to make this explicitly clear.",5.7,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q12,We are transparent,"Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be beneficial for you to start considering what information you are willing to share.",5.2,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q13,We have a positive and healthy culture,"""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You still have a small company, but it would be good to start working on such a culture already now.",7.3,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q14,We have formulated a long term (non-financial) goal,"You have not yet formulated a clear long-term goal. That's too bad, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage.",6.7,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q15,We have formulated yearly goals,"The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth. It's time to get started!",6,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q16,We have formulated quarterly/ monthly goals (other than financial goals),"You have no monthly or quarterly goals. Ouch. Monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process.",5.4,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q17,We work with a strategic plan,"You do not yet have a business plan. Maybe this isn't necessary yet in your phase. But establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges.Whenshouldyouhiresomeone?Whatwillthemarketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this.",5.3,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q18,Each employee has personalized goals,"You haven't started working on personal goals yet. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Think about how this would work at your company.",4.9,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
P1,Pioneering,3,1,Q19,We have implemented a growth methodology,"You have not yet implemented a growth methodology. That is logical in the phase that your company is in. However, it's never too early to start thinking about that.",4.2,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,p3y88CH2XP
