question_id,question,score_0,score_5,score_7,score_9,unique_texts
Q11,Employees know core values,"You have not yet formulated any core values. This is increasingly crucial in your phase. When everyone knows the rules of the game and acts accordingly, this ensures seamless operation. Especially when you continue to grow and keep hiring new people.","You have formulated core values; however, if these are not paid continuous attention - especially when you grow and regularly hire employees - these will not be effective. In your phase, it's really essential to work hard on this. Start with regular communication and create dialogue around these core values.","You have formulated core values, and your employees are reasonably familiar with them. But there is still work to be done. Keep communicating them and create dialogue as to why these core values are so important.","You have formulated core values, and your employees know all of them well and act accordingly. That's really a job well done. Keep communicating them and create dialogue as to why these core values are so important.",4
Q12,We are transparent,"Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be beneficial for you to start considering what information you are willing to share.","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be good if you could start thinking about what information you are even more willing to share.","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". You have already achieved reasonable transparency, which is good. Maybe you can increase this transparency even more by examining what information you want to share.","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". You are already doing very well in this area. Keep it up!",4
Q13,We have a positive and healthy culture,"""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You have a reasonable size and you have a strong and healthy culture. That is very valuable! Make sure to hold on to these as you continue to grow.","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". Given your size, it is very important that you quickly start working on such a culture even more consciously.","""Culture eats Strategy for breakfast"" a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You already have a decent size and you have a fairly strong and healthy culture, but develop it further and make sure you hold on to it as you grow further.","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You already have a decent size and you have a fairly strong and healthy culture, but develop it further and make sure you hold on to it as you grow further.",4
Q14,We have formulated a long term (non-financial) goal,"You have not yet formulated a clear long-term goal. That's too bad, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage.","You have not yet formulated a clear long-term goal, but you have begun to do so. That's great, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage. Good luck formulating your goal!","You have already come far with the formulation of your long-term goal. That's great, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage. Good luck formulating your goal.","You have formulated a long-term goal. That's great, because a long- term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage. Try keeping this ""alive"" and repeating it as much as possible.",4
Q15,We have formulated yearly goals,You indicate that you do not work with measurable annual goals (e.g. both financially and organizationally or with regard to product or market development). This doesn't seem very logical for a company of your size. Maybe it's time to start. This will have a clarifying and motivating effect and ensure growth. Good luck with the implementation.,"You do not yet formulate clear, measurable annual goals. The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth. Given the size of your company, we recommend that you implement this as soon as possible.","You are already working on formulating measurable annual goals - better late than never. The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth.","You have the process of measurable annual goals well under control. That's great. The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. Keep it up!",4
Q16,We have formulated quarterly/ monthly goals (other than financial goals),"You have no monthly or quarterly goals. Ouch, that's very unusual for a company of your size. Monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process. You should start immediately.","You have started setting measurable monthly or quarterly goals. Given the size of your company, it's important to continue to implement this quickly. After all, monthly or quarterly goals give you guidance and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process.",You have already come far with measurable monthly or quarterly goals. Monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Try making this into a regular process.,"You have the process of monthly and quarterly goals entirely under your thumb. That's good, because the fastest growers are very disciplined in this process.",4
Q17,We work with a strategic plan,"You do not yet have a business plan. Given the size of your company, it's about time you did. Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When is the personnel planning done? What will the marketing strategy and the associated costs be? You have to make many difficult choices; a complete overview and plan will help you with this, including in the financial aspect.","You have started putting together a business plan. Given the size of your company this seems quite late. Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When should you hire someone? What will the marketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this, including in the financial aspect.","You have already come far with working with a business plan; that's good. Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When should you hire someone? What will the marketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this, including in the financial aspect.","You have a well-thought-out business plan and are working with it. Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. That's the right approach to growing!",4
Q18,Each employee has personalized goals,"You haven't started working on personal goals yet. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Think about how this would work at your company.","You have started working on personal goals; that's good. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Good luck working out your personal goals in further detail.","You have already come far with implementing personal goals; that's good. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Good luck with your continued implementation.","You have fully and properly implemented goals at the employee level. That's great! You will have noticed that this creates clarity, commitment, personal responsibility and motivation.",4
Q19,We have implemented a growth methodology,"You have not yet implemented a growth methodology. The larger you grow, the more difficult it is to implement new ways of working. Now would be the time to invest in the type of leadership, systems and processes that propel your growth.","Youhavesomewhatimplementedagrowthmethodology.Thelarger you grow, the more difficult it is to implement new ways of working. Now would be the time to speed up implementation of the type of leadership, systems and processes that will propel your growth.","You are actively implementing a growth methodology. Good work! The larger you grow, the more difficult it is to implement new ways of working. So your timing is good. A full implemented system will create a strong foundation for your future scaling up.","You have already fully implemented a growth methodology, compliments! That will create a strong foundation for further scaling up. Well done!",4
Q20,We have an active acquisitions strategy,"You are not active with acquisitions, you might be right, as 70% of the acquisitions turns out to be disappointing.",You are somewhat active with acquisitions or maybe you are considering it. Please understand that acquisitions consume much leadership time and attention. Note that 70% of the acquisitions turns out to be disappointing.,"You are active with acquisitions, that might be a great growth strategy for your company. Acquisitions consume much leadership time and attention. Note that 70% of the acquisitions turns out to be disappointing.",Acquiring companies is part of your growth strategy. Hopefully you are able to absorb and integrate. The largest challenges usually present themselves in different company cultures.,4
Q21,Tasks are properly allocated,"You do not yet have an efficient leadership team. That's incomprehensible in your phase. It would be best for decisions to be increasingly discussed, made, accounted for and above all implemented by the group. Now you are doing most of it yourself, which places unjustified pressure on you as an entrepreneur, manager and leader.","You do not yet have an efficient leadership team. That's very problematic in your phase. Decisions must increasingly be discussed, made, accounted for and above all implemented by the group. Now you are doing most of it yourself, which places unjustified pressure on you as an entrepreneur, manager and leader.",You are already doing well with assembling a leadership team. And not a moment too soon! This will help you create more involvement and make the company less dependent on you. Make sure you get a good team together.,"You have set up an efficient team. Good job. Always keep thinking about how best to shape your leadership team, also with a view to the future.",4
Q22,We have weekly management meetings.,You do not have weekly meetings. That's highly unusual for a company of your size. Maybe your business model permits this... or you have answered the question incorrectly. It's high time to create structure and have regular meetings. Having regular weekly meetings with your most important leaders is essential for making the right decisions together and monitoring progress.,You occasionally have meetings with your leaders. This seems very unusual given the size of your company. You should implement a set schedule and systematically make all decisions. Having regular weekly meetings with your most important leaders is essential for making the right decisions together and monitoring progress.,You have regular meetings with your leaders. You should implement a set schedule and systematically make all decisions. Having regular weekly meetings with your most important leaders is essential for making the right decisions together and monitoring progress.,You have regular weekly meetings with your leaders. That's great! That's one of the building blocks to properly manage your growth.,4
Q23,We have periodic strategic sessions.,You do not yet have strategic sessions. Now it's really important to involve employees in long-term planning. That's why you should start planning strategic sessions with all - or your most important - employees.,"You occasionally have sessions where you develop longer-term plans. Regular mutual consultation about the strategic direction of the company often leads to more effective operations, wider acceptance of decisions and therefore growth.",You have regular sessions where you develop longer-term plans. That's good; mutual consultation about the strategic direction of the company often leads to more effective operations and therefore growth.,Your longer-term planning is in order; that's a good start for accelerating growth.,4
Q24,Leadership team receives regular training,A growing organization means that tasks and therefore also the required skills are continuously changing. We recommend that you start approaching this in a systematic manner.,Training and education for your organization's leadership team is not yet in order. It's time to improve this situation.,"Most members get training or education from time to time. That's a good start. After all, when your organization is growing rapidly and therefore constantly changing, it is also important for management members to continue learning.","You have the training and education of your leadership team in order. Good job. Keep it up. Growing organizations continuously require other skills, including those in leadership.",4
Q25,Our goals are translated into clear KPIs,"Making goals measurable is an important step towards creating personal accountability and professionalizing processes. This includes numbers of leads, receive applications, IT development, etc. It's time to start thinking about this, as this will help you with control, scalability and growth into the next phase.","You have already started working on making your goals measurable. That's great; this is an important step towards creating personal accountability and professionalizing processes. This includes numbers of leads, received applications, IT development, etc. This can be especially important if you grow, in order to keep everything under control.","You have already gotten far with making your goals measurable. This is an important step towards creating personal accountability and professionalizingprocesses.Thisincludesnumbersofleads,received applications, IT development, etc. In your phase this will help you with control and above all with scalability of the organization into the next phase.","You have already translated your goals into measurable indicators. This is an important step towards creating personal accountability and professionalizing processes. This includes numbers of leads, received applications, IT development, etc. This can be especially important for keeping everything under control if you continue to grow.",4
Q26,We use real-time data to measure our performance,"You are constantly searching for the right information at your company. With a company of your size this will likely increasingly lead to mistakes, wrong decisions and problems. Consider systems and processes that can support your company's figures, as this is necessary for better guiding your company and allowing it to grow.","You have started creating accurate data for guiding your company. That's good, but you should continue down this path because otherwise this will likely increasingly lead to mistakes, wrong decisions and problems and later - if you continue to grow - you'll inevitably end up in trouble.",You have already gotten far with creating accurate data for guiding your company. That's great. Keep thinking about how this system can continue to provide you with relevant information next year as well.,You have a system that continually provides you with accurate data. That's great. Keep thinking about how this system can continue to provide you with relevant information.,4
Q27,"We grow with limited mistakes, errors and problems","Work pressure and lack of process often lead to coordination problemsandmistakes.That'sashameandcouldpotentiallydamage your reputation among customers. Especially given the size of your company, it's time to take stock of processes and make clear arrangements. If you don't like doing this yourself, ask a member of your management team to make this his or her most important priority. If you don't resolve this, it will only get worse.","You have started coordinating and standardizing, but things still go wrong on a regular basis. It's time to pay even more attention to taking stock of processes and making clear agreements. This is necessary for handling the next growth phase. Scalability is created by standardization, among other things.",Few things go wrong. Do ensure that your processes also run flawlessly if you start to grow. This is not often the case.,"You have things well under control. You make extremely few ""error costs."" Do ensure that your processes also run flawlessly if you continue to grow. This may not be the case.",4
Q28,We measure customer satisfaction,"You do not yet measure customer satisfaction. That's too bad, because this provides important input for the further development of your products and processes. In any case, you should try having regular contact with customers to find out what you can improve.","You have started occasionally measuring your customers' satisfaction. That's great. Try to ""institutionalize"" this process and see what you can improve every day, week or month.","You have already gotten far with measuring your customers' satisfaction. That's great. Try to ""institutionalize"" this process and see what you can improve every day, week or month.",You are already systematically measuring your customers' satisfaction. That's great; keep the results alive and try to act on the input you get as proactively as possible.,4
Q29,We have systematic processes for continuous improvement,"A system for preventing mistakes and taking stock of complaints/feedback is very important with a company of your size. Frequently, new people will be hired. Then it's good to structure work processes and set up a system of quality checks and customer feedback. Preventing mistakes is usually significantly cheaper than continually fixing them. It's time to think about this.","You are already doing something in the area of quality management, and that's good. At your level it's good to structure work processes and set up a system of quality checks and customer feedback. Preventing mistakes is usually significantly cheaper than continually fixing them.",You are already active in the area of quality management and continuous improvement. That's good. This will help with the scalability of the organization in the face of continued growth.,"You have an effective quality system, and that's great. This will be a massive advantage for you whilst the company continues to grow, as mistakes will be prevented and adjustments made directly based on customer feedback.",4
Q30,We have an effective lead generation process,"To grow you need new customers. With a company of your size, not having a lead generation process is dangerous. Especially when a large part of sales is dependent on you as an entrepreneur. It might be wise to establish and implement a system and process now.","You have already started a lead generation process. That's a good initiative. With a company of your size, allowing the acquisition of new customers to only depend on the entrepreneur or on coincidence is dangerous. For continued growth, it would be wise to implement an effective process and system for this.","You have already gotten far with a lead generation process. This is a good initiative, as this will be essential for continued growth.",You already have an effective lead generation process in place. That's great! An effective system and process is essential for continued rapid growth.,4
Q31,Sales achievement,"Having and achieving targets is, of course, the basis for business success and growth. At successful companies this correlation is no coincidence. The sales process will often consist of a combination of targets, bonus schemes, lead generation as well as weekly meetings, coaching, training, motivational sessions, etc. You are in the phase to really start thinking about that.","Having and achieving targets is, of course, the basis for business success and growth. At successful companies this correlation is no coincidence. The sales process will often consist of a combination of targets, bonus schemes, lead generation as well as weekly meetings, coaching, training, motivational sessions, etc. It might be good to think about how you can improve this at your company.","Having and achieving targets is, of course, the basis for business success and growth. At successful companies this correlation is no coincidence. The sales process will often consist of a combination of targets, bonus schemes, lead generation as well as weekly meetings, coaching, training, motivational sessions, etc. You are already well on the way. It might be good to think about what improvements you can make, so you can grow even faster.","Having and achieving targets is, of course, the basis for business success and growth. At successful companies this correlation is no coincidence. The sales process will often consist of a combination of targets, bonus schemes, lead generation as well as weekly meetings, coaching, training, motivational sessions, etc. You have this process well under control, so you are all set for further growth.",4
Q32,Weekly sales meeting,"Stimulating sales is hardly possible without a disciplined process. A weekly sales meeting in which successes as well as setbacks and lessonslearnedaresharedisanimportantpartofthesuccessoffast- growing companies. Often there are also one-on-one meetings with individual sales reps - if applicable. Given the size of your company, it seems high time to start with this.",Stimulating sales is hardly possible without a disciplined process. A weekly sales meeting in which successes as well as setbacks and lessonslearnedaresharedisanimportantpartofthesuccessoffast- growing companies. Often there are also one-on-one meetings with individual sales reps - if applicable. It's time to quickly get this to a higher level.,You have already gotten far with a disciplined sales process. A weekly sales meeting in which successes as well as setbacks and lessonslearnedaresharedisanimportantpartofthesuccessoffast- growing companies. Often there are also one-on-one meetings with individual sales reps - if applicable. This is very important for making your growth scalable.,"You have a disciplined sales process with weekly meetings. That's great. You will have noticed that sharing successes and lessons learned, alongside maintaining a focused team, allows for a stronger grip on the sales funnel. That's an ideal foundation for continued growth.",4
Q33,Head of sales is not the entrepreneur,"Also, you can only commit your time once as an entrepreneur. That also applies to sales management. With the increasing pressure on general management tasks, it's good to ensure that you as an entrepreneur free up sufficient time for this. If this is not the case, you will have to start making choices.","Also, you can only commit your time once as an entrepreneur. That also applies to sales management. With the increasing pressure on general management tasks, it's good to ensure that you as an entrepreneur free up sufficient time for this. If this is not the case, you will have to start making choices.","As an entrepreneur, you are no longer solely in charge when it comes to sales. That's wise, as this allows the sales process to continue scaling up while you, as an entrepreneur, deal with more general management tasks.","You have made someone else responsible for sales. This seems like a good choice, since now sales is no longer ""an additional task"" for you as an entrepreneur. But be careful! Your best salesperson may not necessarily be a good (sales) manager.",3
Q34,We have an effective PR/communication strategy,Nowadays sales and marketing strategies are usually accompanied with an effective content-based communication strategy. This is something you might want to think about.,Nowadays sales and marketing strategies are usually accompanied with an effective content-based communication strategy. You might want to think about implementing this a bit stronger.,"Nowadays sales and marketing strategies are usually accompanied with an effective content-based communication strategy. You are active with this strategy. Well done, this might create growth opportunities.","Nowadays sales and marketing strategies are usually accompanied with an effective content-based communication strategy. You have already implemented this fully. Well done, this probably will create growth opportunities.",4
Q35,Most processes are automated,"In order to scale, smart application and linking of information technology is essential. Sales, marketing, project management, production,humanresources,reporting,etc.Thisgivesstructureand clarity, prevents mistakes and makes growing a lot easier. You still do not have supporting automated systems. This is remarkable.","In order to scale, smart application and linking of information technology is essential. Sales, marketing, project management, production,humanresources,reporting,etc.Thisgivesstructureand clarity, prevents mistakes and makes growing a lot easier. You have partial automation and a lot of systems probably still work independently of each other. However, with the size of your company, you will quickly have to start thinking about smart (integrated) solutions.","In order to scale, smart application and linking of information technology is essential. Sales, marketing, project management, production,humanresources,reporting,etc.Thisgivesstructureand clarity, prevents mistakes and makes growing a lot easier. A lot of processes are already being supported by automation at your company. Above all, you should continue the integration process.","Most processes are already being supported by automated systems at your company. Sales, marketing, project management, production, human resources, reporting, etc. This gives structure and clarity, prevents mistakes and makes growing a lot easier. Congratulations, on to the next growth phase!",4
Q36,Systems prepped for growth,"Your systems are not yet prepared for growth. When you continue to grow, a lot changes at the same time: systems, structures, people, processes, etc. It helps a lot when your systems can handle this growth. Otherwise it's sort of like changing the tires while driving. We advise you to start ""thinking ahead"" in terms of structures and systems.","If you grow, a lot changes at the same time: systems, structures, people, processes, etc. It helps a lot when your systems can handle this growth. Otherwise it's sort of like changing the tires while driving! We advise you to quickly start ""thinking ahead"" in terms of structures and systems.","If you grow, a lot changes at the same time: systems, structures, people, processes, etc. It helps a lot when your systems can handle this growth. It looks like you have got this under control. That's super... keep growing!","When you grow, a lot changes at the same time: systems, structures, people, processes, etc. It's great that you already have the systems that can handle this. Keep growing!",4
Q37,Better systems than competitors,"Many fast growers have invested in information technology systems that help them be better, smarter, more efficient and more market- oriented than their competitors. You don't have any systems that are better than most of your competitors. Where might IT be able to help you?","Many fast growers have invested in information technology systems that help them be better, smarter, more efficient and more market- oriented than their competitors. You have few systems that are better than most of your competitors. Where might IT be able to help you?","Many fast growers have invested in information technology systems that help them be better, smarter, more efficient and more market- oriented than their competitors. It looks like you pay the same attention to IT systems. That's promising! How can you continue to exploit this advantage?","Many fast growers have invested in information technology systems that help them be better, smarter, more efficient and more market- oriented than their competitors. It looks like you pay the same attention to IT systems. This has resulted in superior systems compared to your competitors. How can you continue to exploit this advantage? And how you can hold on to this lead?",4
Q38,Knowledge on latest technology,"As an entrepreneur, you always have 1001 focus areas You must keep an eye on technological developments that could enormously affect your business model or company efficiency. You should devote time to this on a regular basis.","As an entrepreneur, you always have 1001 focus areas. You must keep an eye on technological developments that could enormously affect your business model or company efficiency. You could spend more time on this.","As an entrepreneur, you always have 1001 focus areas. You keep a relatively good eye on technological developments that could enormously affect your business model or company efficiency. Keep a close eye on this.","As an entrepreneur, you always have 1001 focus areas. You keep a good eye on technological developments that could enormously affect your business model or company efficiency. This is a safe situation. No surprises.",4
Q39,We are more innovative than competitors,"In this world, where developments are super fast, you can quickly be made less relevant by a competitor if you don't pay attention (for example, by focusing too much on internal issues). It is wise to continuously make improvement and innovation part of the organization's DNA.","In this world, where developments are super fast, you can quickly be made less relevant by a competitor if you don't pay attention (for example, by focusing too much on internal issues). It is wise to continuously make improvement and innovation part of the organization's DNA.","In this world, where developments are super fast, you can quickly be made less relevant by a competitor if you don't pay attention (for example, by focusing too much on internal issues). You have a good focus on innovation. Keep this up, even when you are growing.",You are more active with innovations than your competitors. That's good. Perhaps you can constantly stay ahead of the market?,3
Q40,Our business model is disruptive,You do not have a disruptive business model. Keep your eyes open for newcomers in your market. Or you might want to think creating a disruptive model yourself.,"You have somewhat of a disruptive business model. That might gold. Further validation, speed and scaling up of the model are the things that now matter most.",You have a somewhat disruptive business model. That is gold. Speed and scaling up are the things that now matter most.,You have a disruptive business model. That's gold. Speed and Scaling Up are now fundamental in conquering most of your market.,4
Q41,Real time financial insights,"You have no up-to-date knowledge of sales and costs. For a growth company, this is the same as driving 90 mph with a blindfold on. Maybe this should be your first priority to tackle tomorrow.","You hardly have any up-to-date knowledge of sales and costs. For a growth company, this is the same as driving 90 mph with a blindfold on. Maybe this should be your first priority to tackle tomorrow.",You have a reasonably up-to-date picture of your sales and costs. That's good; your aim should be to always have a clear picture of these items.,You have a good picture of sales and costs. No surprises for you. Compliments.,4
Q42,Up-to-date cashflow planning,"Remarkably, you employ no cash flow planning. As an entrepreneur, you always have to look ahead a few months with regard to your cash flow, as otherwise you'll inevitably end up in trouble, especially if you grow.","You don't employ strict cash flow planning. As a small business, you always have to look ahead a few months with regard to your cash flow, as otherwise you'll inevitably end up in trouble, especially if you grow.",You have a fair picture of your cash flow. That's good. You have to be able to look ahead a few months. Especially if you grow; no surprises!,You have a perfect picture of your own cash flow; congratulations. This allows you to grow safely.,4
