question_id,question,score,current_delegation_equals_current_management,current_delegation_equals_may_delegation_score5
Q41,Real time financial insights,9,True,
Q42,Up-to-date cashflow planning,0,False,
Q42,Up-to-date cashflow planning,5,True,True
Q42,Up-to-date cashflow planning,7,True,
Q42,Up-to-date cashflow planning,9,True,
Q43,Access to growth capital,0,False,
Q43,Access to growth capital,5,True,True
Q43,Access to growth capital,7,True,
Q43,Access to growth capital,9,True,
Q44,Financial alert function,0,True,
Q44,Financial alert function,5,True,True
Q44,Financial alert function,7,True,
Q44,Financial alert function,9,True,
Q45,Leadership understands balance sheet,0,True,
Q45,Leadership understands balance sheet,5,True,True
Q45,Leadership understands balance sheet,7,True,
Q45,Leadership understands balance sheet,9,True,
Q46,CEO works on the company and is able to remove from daily operations,0,False,
Q46,CEO works on the company and is able to remove from daily operations,5,True,True
Q46,CEO works on the company and is able to remove from daily operations,7,True,
Q46,CEO works on the company and is able to remove from daily operations,9,False,
Q47,Have a mentor,0,True,
Q47,Have a mentor,5,True,True
Q47,Have a mentor,7,True,
Q47,Have a mentor,9,True,
Q48,Have an entrepreneurial network,0,True,
Q48,Have an entrepreneurial network,5,True,True
Q48,Have an entrepreneurial network,7,True,
Q48,Have an entrepreneurial network,9,True,
Q49,Enjoy management of company,0,False,
Q49,Enjoy management of company,5,False,True
Q49,Enjoy management of company,7,False,
Q49,Enjoy management of company,9,False,
Q50,Energized by team and company,0,True,
Q50,Energized by team and company,5,True,True
Q50,Energized by team and company,7,True,
Q50,Energized by team and company,9,True,
Q51,Absence of CEO is possible,0,False,
Q51,Absence of CEO is possible,5,False,True
Q51,Absence of CEO is possible,7,False,
Q51,Absence of CEO is possible,9,False,
Q52,Read business books,0,True,
Q52,Read business books,5,True,True
Q52,Read business books,7,True,
Q52,Read business books,9,True,
Q53,Receives regular education,0,True,
Q53,Receives regular education,5,True,True
Q53,Receives regular education,7,True,
Q53,Receives regular education,9,True,
Q54,Healthy work - life balance,0,False,
Q54,Healthy work - life balance,5,True,True
Q54,Healthy work - life balance,7,True,
Q54,Healthy work - life balance,9,True,
Q55,I am happy,0,True,
Q55,I am happy,5,True,True
Q55,I am happy,7,True,
Q55,I am happy,9,True,
Q56,Employees know long term goal,0,True,
Q56,Employees know long term goal,5,True,True
Q56,Employees know long term goal,7,True,
Q56,Employees know long term goal,9,True,
Q57,Employees know yearly goal,0,True,
Q57,Employees know yearly goal,5,True,True
Q57,Employees know yearly goal,7,True,
Q57,Employees know yearly goal,9,True,
Q58,Employees know quarterly/monthly goals,0,True,
Q58,Employees know quarterly/monthly goals,5,True,True
Q58,Employees know quarterly/monthly goals,7,True,
Q58,Employees know quarterly/monthly goals,9,True,
Q59,Employees know vision and mission,0,False,
Q59,Employees know vision and mission,5,False,True
Q59,Employees know vision and mission,7,True,
Q59,Employees know vision and mission,9,True,
Q60,Employees know elevator pitch,0,True,
Q60,Employees know elevator pitch,5,True,True
Q60,Employees know elevator pitch,7,True,
Q60,Employees know elevator pitch,9,True,
Q61,We frequently have company-wide meetings,0,True,
Q61,We frequently have company-wide meetings,5,True,True
Q61,We frequently have company-wide meetings,7,True,
Q61,We frequently have company-wide meetings,9,True,
