phase,phase_name,score,edition4_source_level,lexical_matches,lexical_changes,changed_question_ids
P2,Organization,6,5,34,27,Q03|Q04|Q05|Q06|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q24|Q26|Q27|Q29|Q30|Q32|Q33|Q35|Q36|Q46|Q49|Q50|Q51|Q59
P2,Organization,7,7,45,16,Q06|Q09|Q11|Q13|Q19|Q21|Q22|Q23|Q24|Q26|Q29|Q30|Q46|Q49|Q56|Q59
P2,Organization,8,7,45,16,Q06|Q09|Q11|Q13|Q19|Q21|Q22|Q23|Q24|Q26|Q29|Q30|Q46|Q49|Q56|Q59
P2,Organization,9,10,49,12,Q09|Q13|Q15|Q19|Q22|Q24|Q26|Q37|Q43|Q49|Q58|Q59
P2,Organization,10,10,49,12,Q09|Q13|Q15|Q19|Q22|Q24|Q26|Q37|Q43|Q49|Q58|Q59
P3,Management,0,0,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q43|Q44|Q46|Q49|Q50|Q53|Q56|Q57|Q58|Q59|Q61
P3,Management,1,0,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q43|Q44|Q46|Q49|Q50|Q53|Q56|Q57|Q58|Q59|Q61
P3,Management,2,0,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q43|Q44|Q46|Q49|Q50|Q53|Q56|Q57|Q58|Q59|Q61
P3,Management,3,3,25,36,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q43|Q46|Q49|Q50|Q53|Q56|Q57|Q58|Q59|Q61
P3,Management,4,3,25,36,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q43|Q46|Q49|Q50|Q53|Q56|Q57|Q58|Q59|Q61
P3,Management,5,5,50,11,Q04|Q13|Q15|Q16|Q22|Q26|Q29|Q35|Q49|Q51|Q59
P3,Management,6,5,50,11,Q04|Q13|Q15|Q16|Q22|Q26|Q29|Q35|Q49|Q51|Q59
P3,Management,7,7,39,22,Q04|Q06|Q09|Q11|Q13|Q15|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q26|Q29|Q30|Q35|Q36|Q46|Q49|Q56|Q59
P3,Management,8,7,39,22,Q04|Q06|Q09|Q11|Q13|Q15|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q26|Q29|Q30|Q35|Q36|Q46|Q49|Q56|Q59
P3,Management,9,10,39,22,Q03|Q04|Q05|Q06|Q09|Q13|Q15|Q17|Q19|Q20|Q21|Q22|Q24|Q26|Q27|Q30|Q37|Q43|Q46|Q49|Q58|Q59
P3,Management,10,10,39,22,Q03|Q04|Q05|Q06|Q09|Q13|Q15|Q17|Q19|Q20|Q21|Q22|Q24|Q26|Q27|Q30|Q37|Q43|Q46|Q49|Q58|Q59
P4,Delegation,0,0,23,38,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q44|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P4,Delegation,1,0,23,38,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q44|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P4,Delegation,2,0,23,38,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q44|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P4,Delegation,3,3,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P4,Delegation,4,3,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P4,Delegation,5,5,61,0,
P4,Delegation,6,5,61,0,
P4,Delegation,7,7,36,25,Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q36|Q46|Q49|Q51|Q56|Q59
P4,Delegation,8,7,36,25,Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q36|Q46|Q49|Q51|Q56|Q59
P4,Delegation,9,10,37,24,Q03|Q04|Q05|Q06|Q09|Q11|Q13|Q15|Q17|Q19|Q20|Q21|Q22|Q24|Q25|Q26|Q27|Q30|Q37|Q43|Q49|Q51|Q58|Q59
P4,Delegation,10,10,37,24,Q03|Q04|Q05|Q06|Q09|Q11|Q13|Q15|Q17|Q19|Q20|Q21|Q22|Q24|Q25|Q26|Q27|Q30|Q37|Q43|Q49|Q51|Q58|Q59
P5,Standardization,0,0,23,38,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q44|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P5,Standardization,1,0,23,38,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q44|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P5,Standardization,2,0,23,38,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q44|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P5,Standardization,3,3,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P5,Standardization,4,3,24,37,Q03|Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q27|Q29|Q30|Q31|Q32|Q33|Q35|Q36|Q42|Q46|Q49|Q50|Q51|Q53|Q54|Q56|Q57|Q58|Q59|Q61
P5,Standardization,5,5,60,1,Q36
P5,Standardization,6,5,60,1,Q36
P5,Standardization,7,7,36,25,Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q36|Q46|Q49|Q51|Q56|Q59
P5,Standardization,8,7,36,25,Q04|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q36|Q46|Q49|Q51|Q56|Q59
P5,Standardization,9,10,36,25,Q03|Q04|Q05|Q06|Q09|Q11|Q13|Q14|Q15|Q17|Q19|Q20|Q21|Q22|Q24|Q25|Q26|Q27|Q30|Q37|Q43|Q49|Q51|Q58|Q59
P5,Standardization,10,10,36,25,Q03|Q04|Q05|Q06|Q09|Q11|Q13|Q14|Q15|Q17|Q19|Q20|Q21|Q22|Q24|Q25|Q26|Q27|Q30|Q37|Q43|Q49|Q51|Q58|Q59
