phase,phase_name,headcount,score,campaign_id,campaign_alias,status,pdf_path,pdf_sha256,pages,detail_rows,phase_heading,mail_after
P4,Delegation,100,2,amfk64DBEa,jeff_feedback_phase4_2_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_54_14-04_00.pdf,9328dc1a4bed8039004b097693fbbd88666e52f985a3ececcb0fde1dc3a9ecfb,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,3,oGfIpYajSr,jeff_feedback_phase4_3_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_54_57-04_00.pdf,6383eaaa846ed733c446740f34e06b97f0d45d7c233739d42fce4d2e628016b7,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,4,suH68b79wc,jeff_feedback_phase4_4_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_55_42-04_00.pdf,8151df225eaef5271c47f21480814937b407b228e28afb40ff113dce7ebd6dfb,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,5,039GqTC7mW,jeff_feedback_phase_isolation_5_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_06_45-04_00.pdf,81eed415394a387b1677b085aca794e5663c6948ff2fd6efee733a6418441987,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,6,LSaJzW1uTA,jeff_feedback_phase4_6_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_56_26-04_00.pdf,60811279518527d280a246640f0f0bd99cf48fa78bd4629596799f491aaefeb8,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,7,pUTZjZszTk,jeff_feedback_phase_isolation_7_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_07_50-04_00.pdf,4bb9aecf3ea9a23c38dbbef9c31ac06a6285add9efcd4eddbdf6dd3b949b095e,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,8,a1zAcM0hSZ,jeff_feedback_phase4_8_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_57_11-04_00.pdf,70d83e1160d71b73b7466ec5945957e84e5c4c2b825fcf19b2efa1dfcfb3968c,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,9,KDo05NjfaE,jeff_feedback_phase_isolation_9_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_08_52-04_00.pdf,b0066bb7b107b5444f3c3b3ee8281ebfc3f85fa68fff044575d76153c05b01e8,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,10,b76s9yHijE,jeff_feedback_phase4_10_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_57_55-04_00.pdf,53cbab7d5033f49d701fdefb6f80806802ebd4749f4b1e03b0f2d208e2996199,26,61,You've reached phase 4 - Delegation phase,disabled
P5,Standardization,200,0,11qxl7wBrd,jeff_feedback_phase5_0_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_56_04-04_00.pdf,c6169a918b6ca94165b564c5fb0f03a3dec23fc768af2549a84efa16fffae0fa,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,1,wVzyttX5nn,jeff_feedback_phase5_1_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_59_57-04_00.pdf,d1602b3a37ea14a629cb12a1a677bb95640d81264862f244758d7da2b4a26c52,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,2,HXHGfgeBzA,jeff_feedback_phase5_2_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T10_01_09-04_00.pdf,0abdc9b0ded50577a41b97f29b60c8a3cf10ae4b3a56ce8c1beb694fbb48f90d,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,3,HqpWMWaqI6,jeff_feedback_phase5_3_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T10_01_52-04_00.pdf,90ec7be97e271bb338144e3971c0e63f6191261431347fd8499985731d5f67e1,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,4,Bxrh07QbEO,jeff_feedback_phase5_4_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T10_02_34-04_00.pdf,386e263a938e42efbb806bdf35984fd89688a06e3ea6a38a75974620141de010,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,5,LdYgsgyGId,jeff_feedback_phase5_5_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_56_46-04_00.pdf,ef2e2a1f94d11e2fceb614e9004f666e681d44fe4f466d78f558b7c4456e12ce,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,6,P68p4xR2ik,jeff_feedback_phase5_6_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T10_03_16-04_00.pdf,eac2618d63d53708d42978876b9fc040d5254996e5bcb9af878329b170e08a86,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,7,PKUJSgXbQ9,jeff_feedback_phase5_7_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_57_28-04_00.pdf,a89b2d80c6336a94c05699c1b616ca608a001684b75983df5a1a3c153004b7bb,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,8,reB55VipnB,jeff_feedback_phase5_8_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T10_04_01-04_00.pdf,60c871e5611258e8b9555f2590f849a6655a86c7d13c81146a93c499260663cb,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,9,Y5ltG2Te2T,jeff_feedback_phase5_9_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_58_10-04_00.pdf,8cfeb045bd31e0f533a52cc912c82e9f2cc00dede677f0a37dae26152bba0f1d,26,61,You've reached phase 5 - Standardization phase,disabled
P5,Standardization,200,10,kpJwhro6iQ,jeff_feedback_phase5_10_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T10_04_42-04_00.pdf,b25e71d88a8575db6f551abd94a58c65f9dfef9c2df8b53004aa485a9b2e8666,26,61,You've reached phase 5 - Standardization phase,disabled
