"question_id","question","section_id","source_level","recommended_min_score","recommended_max_score","feedback_text","text_source","threshold_evidence"
"Q10","We have focus on customers' needs","S_PEOPLE_CC","10","9","10","Growth often creates increased management attention to internal matters, employees, new premises, computer systems, etc. The most rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. You have that completely under control. Keep it up, even during your next growth phases.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q11","Employees know core values","S_PEOPLE_CC","0","0","2","You have not formulated any core values. That's less important in your phase. Because of the small team, everyone subconsciously knows what's important. However, if you grow and hire new employees, it will be increasingly important to make this explicitly clear.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q11","Employees know core values","S_PEOPLE_CC","3","3","4","You have not formulated any core values. That's less important in your phase. Because of the small team, everyone subconsciously knows what's important. However, if you grow and hire new employees, it will be increasingly important to make this explicitly clear.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q11","Employees know core values","S_PEOPLE_CC","5","5","6","You have formulated core values; however, if these are not paid continuous attention - especially when you grow and regularly hire employees - these will not be effective. In your phase, it's really essential to work hard on this. Start with regular communication and create dialogue around these core values.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q11","Employees know core values","S_PEOPLE_CC","7","7","8","You have formulated core values, and your employees are reasonably familiar with them. That's very good in your phase. This will be increasingly important as you grow. Therefore, keep these values alive.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q11","Employees know core values","S_PEOPLE_CC","10","9","10","You have formulated core values, and your employees know all of them well and act accordingly. That's really a job well done. Keep this very clear when you continue to grow into the next phase.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q12","We are transparent","S_PEOPLE_CC","0","0","2","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be beneficial for you to start considering what information you are willing to share.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q12","We are transparent","S_PEOPLE_CC","3","3","4","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be beneficial for you to start considering what information you are willing to share.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q12","We are transparent","S_PEOPLE_CC","5","5","6","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". It would be good if you could start thinking about what information you are even more willing to share.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q12","We are transparent","S_PEOPLE_CC","7","7","8","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". You have already achieved reasonable transparency, which is good. Maybe you can increase this transparency even more by examining what information you want to share.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q12","We are transparent","S_PEOPLE_CC","10","9","10","Transparency of information (about customers, sales, goals, growth, etc.) produces greater employee involvement. In addition, it often prevents internal ""politics"". You are already doing very well in this area. Keep it up!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q13","We have a positive and healthy culture","S_PEOPLE_CC","0","0","2","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You still have a small company, but it would be good to start working on such a culture already now.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q13","We have a positive and healthy culture","S_PEOPLE_CC","3","3","4","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You still have a small company, but it would be good to start working on such a culture already now.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q13","We have a positive and healthy culture","S_PEOPLE_CC","5","5","6","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". Given your size, it is very important that you quickly start working on such a culture even more consciously.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q13","We have a positive and healthy culture","S_PEOPLE_CC","7","7","8","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You still have a small business and you have made a good start with your culture, make sure you stick with it as you grow.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q13","We have a positive and healthy culture","S_PEOPLE_CC","10","9","10","""Culture eats Strategy for breakfast"" is a famous quote from management guru Peter Drucker. The outside world is changing rapidly, but a positive and healthy culture in which employees take responsibility, think along and always act in the interest of the company is therefore an enormous ""asset"". You still have a small business and you have a strong and healthy culture, make sure you stick to it as you grow further.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q14","We have formulated a long term (non-financial) goal","S_STRATEGY","0","0","2","You have not yet formulated a clear long-term goal. That's too bad, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q14","We have formulated a long term (non-financial) goal","S_STRATEGY","3","3","4","You have not yet formulated a clear long-term goal. That's too bad, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q14","We have formulated a long term (non-financial) goal","S_STRATEGY","5","5","6","You have not yet formulated a clear long-term goal, but you have begun to do so. That's great, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage. Good luck formulating your goal!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q14","We have formulated a long term (non-financial) goal","S_STRATEGY","7","7","8","You have already come far with the formulation of your long-term goal. That's great, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage. Good luck formulating your goal.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q14","We have formulated a long term (non-financial) goal","S_STRATEGY","10","9","10","You have formulated a long-term goal. That's great, because a long-term goal provides direction and context and above all motivation for all employees. Companies that do this effectively are at an enormous advantage. Try keeping this ""alive"" and repeating it as much as possible.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q15","We have formulated yearly goals","S_STRATEGY","0","0","2","The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth. It's time to get started!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q15","We have formulated yearly goals","S_STRATEGY","3","3","4","The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth. It's time to get started!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q15","We have formulated yearly goals","S_STRATEGY","5","5","6","You do not yet formulate clear, measurable annual goals. The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth. Given the size of your company, we recommend that you implement this as soon as possible.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q15","We have formulated yearly goals","S_STRATEGY","7","7","8","You are already doing a good job of formulating measurable annual goals. That's good news. The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. This will have a clarifying and motivating effect and ensure growth.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q15","We have formulated yearly goals","S_STRATEGY","10","9","10","You have the process of measurable annual goals well under control. That's good news. The clearer and more measurably you formulate your goals (both financially and organizationally or with regard to product or market development), the higher the chance that you will also achieve those goals. Keep it up!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q16","We have formulated quarterly/ monthly goals (other than financial goals)","S_STRATEGY","0","0","2","You have no monthly or quarterly goals. Ouch. Monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q16","We have formulated quarterly/ monthly goals (other than financial goals)","S_STRATEGY","3","3","4","You have no monthly or quarterly goals. Ouch. Monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q16","We have formulated quarterly/ monthly goals (other than financial goals)","S_STRATEGY","5","5","6","You have started setting measurable monthly or quarterly goals. Given the size of your company, it's important to continue to implement this quickly. After all, monthly or quarterly goals give you guidance and ensure that you will achieve your annual goals. Think of them as ""small sprints"" that you have to win in order to achieve your annual goal. Fast growers are very disciplined in this process.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q16","We have formulated quarterly/ monthly goals (other than financial goals)","S_STRATEGY","7","7","8","You have already come far with measurable monthly or quarterly goals. That's great, because monthly or quarterly goals give you guidance and direction and ensure that you will achieve your annual goals. Try making this into a regular process.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q16","We have formulated quarterly/ monthly goals (other than financial goals)","S_STRATEGY","10","9","10","You have the process of monthly and quarterly goals entirely under your thumb. That's good, because the fastest growers are very disciplined in this process.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q17","We work with a strategic plan","S_STRATEGY","0","0","2","You do not yet have a business plan. Maybe this isn't necessary yet in your phase. But establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When should you hire someone? What will the marketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q17","We work with a strategic plan","S_STRATEGY","3","3","4","You do not yet have a business plan. Maybe this isn't necessary yet in your phase. But establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When should you hire someone? What will the marketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q17","We work with a strategic plan","S_STRATEGY","5","5","6","You have started putting together a business plan. Given the size of your company this seems quite late. Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When should you hire someone? What will the marketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this, including in the financial aspect.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q17","We work with a strategic plan","S_STRATEGY","7","7","8","You have already come far with working with a business plan; that's good. Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. When should you hire someone? What will the marketing strategy be? You have to make many difficult choices; a complete overview and plan will help you with this.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q17","We work with a strategic plan","S_STRATEGY","10","9","10","You have a well-thought-out business plan and are working with it; that's super! Establishing your goals, strategy and action plan can bring about a lot of clarity and teach you to anticipate certain challenges. That's the right approach to growing!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q18","Each employee has personalized goals","S_STRATEGY","0","0","2","You haven't started working on personal goals yet. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Think about how this would work at your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q18","Each employee has personalized goals","S_STRATEGY","3","3","4","You haven't started working on personal goals yet. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Think about how this would work at your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q18","Each employee has personalized goals","S_STRATEGY","5","5","6","You have started working on personal goals; that's good. Team goals and personal goals are the next step in working efficiently. This creates clarity, commitment, personal responsibility and motivation. Good luck working out your personal goals in further detail.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
